INSTNM,MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
Harvard University,101817.0,15.0,17.0,14.0,57261.0,0.4266666667,0.5015384615,0.9928,1674.0,,0.0635897436,0.7772925764,0.872727272727,0.862337662338,0.292452830189,,0.1923
Hellenic College-Holy Cross Greek Orthodox School of Theology,51724.0,21.0,8.0,13.0,22490.0,,0.2962962963,0.5,,,,,,,,,0.0513
College of the Holy Cross,90543.0,21.0,11.0,14.0,58360.0,0.6839012926,0.526439483,0.988,528.0,,,0.8748091603,0.916666666667,,0.035433070866,,0.0003
Holyoke Community College,37277.0,1.0,3.0,1.0,10514.0,0.0898751734,0.6183079057,0.398,262.0,0.0069348128,0.0898751734,0.5704467354,0.243142724314,0.247470101196,0.500575373993,0.221238938053,0.3323
Lasell University,49705.0,18.0,11.0,12.0,42630.0,0.531938326,0.6674008811,0.8533,355.0,,,0.7050209205,0.607723577236,0.628450106157,0.112676056338,0.092307692308,0.03
Lawrence Memorial Hospital School of Nursing,101466.0,10.0,1.0,1.0,27587.0,0.0714285714,0.9214285714,,86.0,,0.1964285714,0.664,0.164948453608,0.586206896552,0.144736842105,,0.8482
Lesley University,51173.0,17.0,10.0,7.0,31364.0,0.3446428571,0.7928571429,0.5814,447.0,,0.0669642857,0.6666666667,0.576923076923,0.594786729858,0.153716216216,0.16814159292,0.1946
Longy School of Music of Bard College,46543.0,30.0,18.0,0.0,50675.0,0.7276995305,0.6197183099,0.8,158.0,,,0.7960893855,0.711764705882,,0.234848484848,,0.1282
University of Massachusetts-Lowell,64874.0,16.0,16.0,9.0,34550.0,0.333209785,0.4343958488,0.6315,3286.0,0.0070422535,0.0698665678,0.7119727311,0.628182144138,0.610531309298,0.070291777188,0.14554973822,0.2027
University of Massachusetts-Amherst,71631.0,15.0,17.0,14.0,38171.0,0.5463099422,0.515474436,0.8173,4056.0,0.0035143408,0.0332161886,0.8062554301,0.691003102378,0.503173828125,0.105274217273,0.122018348624,0.0639
University of Massachusetts-Boston,65865.0,16.0,15.0,13.0,36105.0,0.3560591871,0.5690204158,0.6599,2020.0,0.0084285447,0.0722981832,0.4814814815,0.510262873605,0.3740818468,0.201303155007,0.169871794872,0.1882
Massachusetts Bay Community College,52654.0,6.0,3.0,1.0,10320.0,0.1517067004,0.5455120101,0.3895,163.0,0.0113780025,0.1068268015,0.6888888889,0.199838187702,0.166315789474,0.438340807175,0.189655172414,0.3938
MCPHS University,125557.0,26.0,13.0,11.0,37230.0,0.3862068966,0.7708222812,0.6624,892.0,,0.0450928382,0.8430744596,0.768939393939,0.689932885906,0.059701492537,0.277620396601,0.2028
Massachusetts College of Art and Design,43582.0,30.0,11.0,13.0,40960.0,0.3490427099,0.7187039764,0.8269,187.0,,0.0206185567,0.7014563107,0.673796791444,0.703296703297,0.194690265487,0.064864864865,0.1232
Massachusetts Institute of Technology,143372.0,15.0,17.0,14.0,57986.0,0.6530014641,0.3718887262,0.9818,940.0,,,0.9308943089,0.937768240343,,0.091370558376,,0.0097
Massachusetts Maritime Academy,82392.0,20.0,11.0,12.0,24522.0,0.2718309859,0.1281690141,0.9296,570.0,,,0.9267605634,0.744868035191,,0.057971014493,,0.0299
Massasoit Community College,46111.0,8.0,3.0,1.0,10320.0,0.1094674556,0.5715976331,0.4394,339.0,0.0097633136,0.0914201183,0.6493902439,0.225345167653,0.235727440147,0.486610058785,0.221153846154,0.3451
Merrimack College,75584.0,18.0,14.0,10.0,49196.0,0.5828295042,0.5302297461,0.9156,717.0,,0.0163240629,0.8152866242,0.722294654498,0.69123783032,0.080607476636,0.065868263473,0.0182
MGH Institute of Health Professions,87130.0,26.0,9.0,10.0,,0.1004366812,0.8689956332,,383.0,,0.096069869,,,,,0.853333333333,0.5077
Middlesex Community College,50651.0,2.0,3.0,1.0,12120.0,0.1279342723,0.5988849765,0.3048,378.0,0.0093896714,0.0974178404,0.6641791045,0.234375,0.248500428449,0.462986198243,0.21568627451,0.2942
Montserrat College of Art,33022.0,22.0,8.0,10.0,37850.0,0.2222222222,0.7248677249,0.791,39.0,,,0.5789473684,0.601694915254,,0.212765957447,,0.0381
Mount Holyoke College,58418.0,21.0,11.0,14.0,58498.0,0.7018121911,,0.9252,243.0,,0.0164744646,0.7939393939,0.792452830189,,0.031152647975,0.084745762712,0.0302
Mount Wachusett Community College,41118.0,7.0,2.0,1.0,10680.0,0.0758106924,0.6314636284,0.3199,377.0,0.0144609991,0.1187554777,0.6465798046,0.26950867052,0.203389830508,0.504716981132,0.192052980132,0.4247
The New England Conservatory of Music,34483.0,30.0,8.0,14.0,55910.0,0.7058823529,0.4235294118,0.8393,,,,,0.762711864407,,0.192307692308,,0.026
Nichols College,58063.0,19.0,11.0,10.0,38800.0,0.4293706294,0.3776223776,0.8025,265.0,,0.013986014,0.7300275482,0.564792176039,0.537974683544,0.148058252427,,0.0762
Massachusetts College of Liberal Arts,48102.0,21.0,11.0,11.0,20535.0,0.3630573248,0.6369426752,0.6914,265.0,,0.0458598726,0.6575,0.613065326633,0.58803986711,0.164524421594,0.147727272727,0.1299
North Bennet Street School,43993.0,-2.0,-2.0,-2.0,,,0.2718446602,1.0,27.0,,0.2038834951,,,,,,0.695
North Shore Community College,45391.0,4.0,3.0,1.0,10920.0,0.099078341,0.6171823568,0.4024,405.0,0.0102040816,0.1043449638,0.6632016632,0.249040307102,0.24811218986,0.489003880983,0.288461538462,0.407
